Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Agregados macroeconómicos: Nivel 3;Agregados macroeconómicos: Nivel 4;Agregados macroeconómicos: Nivel 5;Agregados macroeconómicos: Nivel 6;Niveles y tasas;Tipo de dato;Periodo;Total
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2024T4;420.435
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2024T3;393.311
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2024T2;400.313
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2024T1;377.568
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2023T4;396.068
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2023T3;369.626
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2023T2;375.898
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2023T1;356.732
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2022T4;368.102
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2022T3;341.733
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2022T2;343.673
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2022T1;320.121
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2021T4;336.718
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2021T3;307.204
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2021T2;306.581
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2021T1;284.971
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2020T4;302.397
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2020T3;283.890
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2020T2;252.148
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2020T1;290.779
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2019T4;326.698
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2019T3;308.032
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2019T2;317.802
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2019T1;301.178
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2018T4;317.376
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2018T3;299.180
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2018T2;307.152
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2018T1;288.568
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2017T4;305.911
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2017T3;289.397
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2017T2;296.216
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2017T1;278.500
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2016T4;292.649
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2016T3;277.911
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2016T2;284.198
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2016T1;268.209
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2015T4;284.369
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2015T3;268.782
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2015T2;274.602
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2015T1;259.359
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2014T4;270.440
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2014T3;256.469
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2014T2;262.465
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos no ajustados de estacionalidad y calendario;2014T1;249.575
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2024T4;407.076
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2024T3;399.337
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2024T2;394.329
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2024T1;390.885
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2023T4;384.830
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2023T3;374.050
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2023T2;370.217
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2023T1;369.227
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2022T4;358.462
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2022T3;344.745
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2022T2;338.571
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2022T1;331.851
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2021T4;325.087
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2021T3;310.566
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2021T2;301.107
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2021T1;298.714
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2020T4;292.671
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2020T3;287.632
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2020T2;247.347
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2020T1;301.564
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2019T4;317.621
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2019T3;312.955
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2019T2;311.955
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2019T1;311.179
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2018T4;307.852
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2018T3;304.323
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2018T2;301.749
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2018T1;298.352
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2017T4;297.558
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2017T3;293.175
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2017T2;291.535
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2017T1;287.756
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2016T4;284.119
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2016T3;282.308
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2016T2;279.123
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2016T1;277.417
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2015T4;275.270
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2015T3;273.121
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2015T2;270.627
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2015T1;268.094
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2014T4;262.623
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2014T3;260.038
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2014T2;258.585
Producto interior bruto a precios de mercado;;;;;;Dato base;Datos ajustados de estacionalidad y calendario;2014T1;257.703
